hgnc_id,symbol,name,locus_group,locus_type,status,location,alias_symbol,prev_symbol,gene_group,entrez_id,ensembl_gene_id,refseq_accession
HGNC:56677,LINC03083,long independently transcribed non-coding RNA 3083,non-coding RNA,"RNA, long non-coding",Approved,20p11.23,AL133465.1,,Long independently transcribed non-coding RNAs,128193295.0,ENSG00000234104,NR_186504
HGNC:56686,LINC03084,long independently transcribed non-coding RNA 3084,non-coding RNA,"RNA, long non-coding",Approved,8q23.1,,,Long independently transcribed non-coding RNAs,101927392.0,ENSG00000254041,NR_187537
HGNC:56691,LINC03085,long independently transcribed non-coding RNA 3085,non-coding RNA,"RNA, long non-coding",Approved,19p12,AC073534.2,,Long independently transcribed non-coding RNAs,128266841.0,ENSG00000276030,NR_186350
HGNC:56701,LINC03086,long independently transcribed non-coding RNA 3086,non-coding RNA,"RNA, long non-coding",Approved,20p13,,,Long independently transcribed non-coding RNAs,388780.0,ENSG00000226644,NR_161305
HGNC:56710,LINC03088,long independently transcribed non-coding RNA 3088,non-coding RNA,"RNA, long non-coding",Approved,12q24.22,AC125603.2,,Long independently transcribed non-coding RNAs,124903027.0,ENSG00000257883,XR_007063473
HGNC:56717,LINC03089,long independently transcribed non-coding RNA 3089,non-coding RNA,"RNA, long non-coding",Approved,10q11.21,RP11-20J15.2,,Long independently transcribed non-coding RNAs,128385371.0,ENSG00000237590,
HGNC:56719,LINC03090,long independently transcribed non-coding RNA 3090,non-coding RNA,"RNA, long non-coding",Approved,8q22.3,,,Long independently transcribed non-coding RNAs,105375675.0,ENSG00000253355,XR_928460
HGNC:56720,LINC03091,long independently transcribed non-coding RNA 3091,non-coding RNA,"RNA, long non-coding",Approved,4p16.2,,,Long independently transcribed non-coding RNAs,101928237.0,,XR_002959777
HGNC:56721,LINC03092,long independently transcribed non-coding RNA 3092,non-coding RNA,"RNA, long non-coding",Approved,18q21.2,,,Long independently transcribed non-coding RNAs,107985164.0,ENSG00000267327,XR_001753453
HGNC:56723,LINC03093,long independently transcribed non-coding RNA 3093,non-coding RNA,"RNA, long non-coding",Approved,8p21.3,,,Long independently transcribed non-coding RNAs,101929172.0,ENSG00000254334,NR_104677
HGNC:56725,LINC03094,long independently transcribed non-coding RNA 3094,non-coding RNA,"RNA, long non-coding",Approved,9q31.1,lnc-SMC2-1,,Long independently transcribed non-coding RNAs,101928523.0,ENSG00000285483,NR_109803
HGNC:56738,LINC03095,long independently transcribed non-coding RNA 3095,non-coding RNA,"RNA, long non-coding",Approved,7p15.2,lnc-SNX10-87,,Long independently transcribed non-coding RNAs,100506289.0,ENSG00000233760,NR_184280
HGNC:56743,LINC03096,long independently transcribed non-coding RNA 3096,non-coding RNA,"RNA, long non-coding",Approved,11p14.1,,,Long independently transcribed non-coding RNAs,128667225.0,ENSG00000255227,
HGNC:56744,LINC03097,long independently transcribed non-coding RNA 3097,non-coding RNA,"RNA, long non-coding",Approved,2q33.3,,,Long independently transcribed non-coding RNAs,128667230.0,ENSG00000231653,
HGNC:56745,LINC03098,long independently transcribed non-coding RNA 3098,non-coding RNA,"RNA, long non-coding",Approved,Xq24,,,Long independently transcribed non-coding RNAs,101928336.0,ENSG00000230392,NR_110396
HGNC:56750,LINC03099,long independently transcribed non-coding RNA 3099,non-coding RNA,"RNA, long non-coding",Approved,Xp11.4,,,Long independently transcribed non-coding RNAs,101927476.0,ENSG00000236393,NR_110386
HGNC:56763,LINC03100,long independently transcribed non-coding RNA 3100,non-coding RNA,"RNA, long non-coding",Approved,2q37.3,,,Long independently transcribed non-coding RNAs,129810495.0,ENSG00000261186,NR_186294
HGNC:56823,LINC03101,long independently transcribed non-coding RNA 3101,non-coding RNA,"RNA, long non-coding",Approved,18q23,AC018445.6,,Long independently transcribed non-coding RNAs,129810497.0,ENSG00000286296,
HGNC:40277,LINC03102,long independently transcribed non-coding RNA 3102,non-coding RNA,"RNA, long non-coding",Approved,1p31.1,,HHLA3-AS1,Long independently transcribed non-coding RNAs,102724548.0,ENSG00000226088,NR_183713
HGNC:48330,LINC03103,long independently transcribed non-coding RNA 3103,non-coding RNA,"RNA, long non-coding",Approved,19q12,THEG5,,Long independently transcribed non-coding RNAs,100507527.0,ENSG00000267465,NR_172934
HGNC:56834,LINC03104,long independently transcribed non-coding RNA 3104,non-coding RNA,"RNA, long non-coding",Approved,21p12,,,Long independently transcribed non-coding RNAs,102724219.0,ENSG00000274333,NR_170984
HGNC:56835,LINC03105,long independently transcribed non-coding RNA 3105,non-coding RNA,"RNA, long non-coding",Approved,21p11.2,,,Long independently transcribed non-coding RNAs,102724951.0,ENSG00000276077,NR_170980
HGNC:56836,LINC03106,long independently transcribed non-coding RNA 3106,non-coding RNA,"RNA, long non-coding",Approved,9p21.2,,,Long independently transcribed non-coding RNAs,100506422.0,ENSG00000276759,NR_170894
HGNC:56841,LINC03107,long independently transcribed non-coding RNA 3107,non-coding RNA,"RNA, long non-coding",Approved,16p13.12,,,Long independently transcribed non-coding RNAs,124903648.0,ENSG00000263257,XR_007065002
HGNC:56844,LINC03108,long independently transcribed non-coding RNA 3108,non-coding RNA,"RNA, long non-coding",Approved,1q42.3,AL391832.3,,Long independently transcribed non-coding RNAs,130512932.0,ENSG00000258082,NR_186308
HGNC:56845,LINC03109,long independently transcribed non-coding RNA 3109,non-coding RNA,"RNA, long non-coding",Approved,3q25.2,AC078788.1,,Long independently transcribed non-coding RNAs,105374166.0,ENSG00000241220,XR_001740975
HGNC:56846,LINC03110,long independently transcribed non-coding RNA 3110,non-coding RNA,"RNA, long non-coding",Approved,18q21.32,,,Long independently transcribed non-coding RNAs,102724745.0,ENSG00000275418,NR_187441
HGNC:56850,LINC03111,long independently transcribed non-coding RNA 3111,non-coding RNA,"RNA, long non-coding",Approved,18q21.32,AC090771.2,,Long independently transcribed non-coding RNAs,130572099.0,ENSG00000267686,NR_186639
HGNC:56853,LINC03112,long independently transcribed non-coding RNA 3112,non-coding RNA,"RNA, long non-coding",Approved,Xp22.33,,,Long independently transcribed non-coding RNAs,101928092.0,ENSG00000289007,XR_001755776
HGNC:56854,LINC03113,long independently transcribed non-coding RNA 3113,non-coding RNA,"RNA, long non-coding",Approved,Xp22.31,,,Long independently transcribed non-coding RNAs,107985715.0,ENSG00000287171,XR_001755792
HGNC:56855,LINC03114,long independently transcribed non-coding RNA 3114,non-coding RNA,"RNA, long non-coding",Approved,Xp22.31,,,Long independently transcribed non-coding RNAs,105373125.0,ENSG00000285896,XR_950505
HGNC:56881,LINC03116,long independently transcribed non-coding RNA 3116,non-coding RNA,"RNA, long non-coding",Approved,2p24.1,,,Long independently transcribed non-coding RNAs,131855739.0,ENSG00000234207,
HGNC:56883,LINC03117,long independently transcribed non-coding RNA 3117,non-coding RNA,"RNA, long non-coding",Approved,14q32.31,lincRTL,,Long independently transcribed non-coding RNAs,105370672.0,,XR_007064343
HGNC:56937,LINC03121,long independently transcribed non-coding RNA 3121,non-coding RNA,"RNA, long non-coding",Approved,1q31.1,Lnc-PAL2G4A-4,,Long independently transcribed non-coding RNAs,132565736.0,ENSG00000261182,NR_189291
HGNC:26744,LINC03122,long independently transcribed non-coding RNA 3122,non-coding RNA,"RNA, long non-coding",Approved,5q12.1,FLJ37543,C5orf64|LINC03119,Long independently transcribed non-coding RNAs,285668.0,ENSG00000178722,NR_126523
HGNC:52969,LINC03123,long independently transcribed non-coding RNA 3123,non-coding RNA,"RNA, long non-coding",Approved,5q12.1,,C5orf64-AS1,Long independently transcribed non-coding RNAs,100506526.0,ENSG00000251575,NR_105000
HGNC:25077,LINC03124,long independently transcribed non-coding RNA 3124,non-coding RNA,"RNA, long non-coding",Approved,2q21.2,,C2orf27|C2orf27A,Long independently transcribed non-coding RNAs,29798.0,ENSG00000287151,NR_149013
HGNC:57012,LINC03125,long independently transcribed non-coding RNA 3125,non-coding RNA,"RNA, long non-coding",Approved,20p11.21,InSETG-4,,Long independently transcribed non-coding RNAs,100505664.0,ENSG00000230387,XR_001754548
HGNC:57013,LINC03126,long independently transcribed non-coding RNA 3126,non-coding RNA,"RNA, long non-coding",Approved,1p36.13,,,Long independently transcribed non-coding RNAs,112267871.0,ENSG00000228549,NR_160657
HGNC:58077,LINC03127,long independently transcribed non-coding RNA 3127,non-coding RNA,"RNA, long non-coding",Approved,1p22.1,REIR-2,,Long independently transcribed non-coding RNAs,,ENSG00000233482,
HGNC:58079,LINC03128,long independently transcribed non-coding RNA 3128,non-coding RNA,"RNA, long non-coding",Approved,17p13.1,REIR-4,,Long independently transcribed non-coding RNAs,,,
HGNC:57044,LINC03129,long independently transcribed non-coding RNA 3129,non-coding RNA,"RNA, long non-coding",Approved,7q11.21,,,Long independently transcribed non-coding RNAs,84214.0,ENSG00000236529,XR_002956508
HGNC:58087,LINC03130,long independently transcribed non-coding RNA 3130,non-coding RNA,"RNA, long non-coding",Approved,12q21.33,AC025254.1,,Long independently transcribed non-coding RNAs,,ENSG00000258125,
HGNC:58088,LINC03131,long independently transcribed non-coding RNA 3131,non-coding RNA,"RNA, long non-coding",Approved,9p23,AL162413.1,,Long independently transcribed non-coding RNAs,124902119.0,ENSG00000270372,NR_201261
HGNC:58095,LINC03133,long independently transcribed non-coding RNA 3133,non-coding RNA,"RNA, long non-coding",Approved,8q12.1,Lnc-CYP7A1-1,,Long independently transcribed non-coding RNAs,101929528.0,ENSG00000253281,NR_105005
HGNC:58096,LINC03134,long independently transcribed non-coding RNA 3134,non-coding RNA,"RNA, long non-coding",Approved,,CTC-537E7.3|CTC-537E7.2,,Long independently transcribed non-coding RNAs,105379013.0,ENSG00000248884,
HGNC:58100,LINC03135,long independently transcribed non-coding RNA 3135,non-coding RNA,"RNA, long non-coding",Approved,6p21.31,AL033519.3|RP3-340B19.3,,Long independently transcribed non-coding RNAs,101929309.0,ENSG00000228559,NR_187690
HGNC:58102,LINC03136,long independently transcribed non-coding RNA 3136,non-coding RNA,"RNA, long non-coding",Approved,11q24.2,AP000842.3,,Long independently transcribed non-coding RNAs,124902781.0,ENSG00000260209,
HGNC:58103,LINC03137,long independently transcribed non-coding RNA 3137,non-coding RNA,"RNA, long non-coding",Approved,15q23,OLBC15|AC100826.1,,Long independently transcribed non-coding RNAs,124903517.0,ENSG00000259457,
HGNC:58104,LINC03138,long independently transcribed non-coding RNA 3138,non-coding RNA,"RNA, long non-coding",Approved,21q21.3,AF131217.1,,Long independently transcribed non-coding RNAs,,ENSG00000232855,
HGNC:58111,LINC03139,long independently transcribed non-coding RNA 3139,non-coding RNA,"RNA, long non-coding",Approved,10q22.1,RP11-472G21.2,,Long independently transcribed non-coding RNAs,124902447.0,,NR_201271
HGNC:58127,LINC03140,long independently transcribed non-coding RNA 3140,non-coding RNA,"RNA, long non-coding",Approved,4q28.2,lincRNA-JADE1,,Long independently transcribed non-coding RNAs,124900778.0,ENSG00000248187,NR_201207
HGNC:58143,LINC03141,long independently transcribed non-coding RNA 3141,non-coding RNA,"RNA, long non-coding",Approved,12p13.32,AC007207.2,,Long independently transcribed non-coding RNAs,105369611.0,ENSG00000256969,
HGNC:58153,LINC03142,long independently transcribed non-coding RNA 3142,non-coding RNA,"RNA, long non-coding",Approved,9p21.3,,,Long independently transcribed non-coding RNAs,,ENSG00000284418,
HGNC:58162,LINC03143,long independently transcribed non-coding RNA 3143,non-coding RNA,"RNA, long non-coding",Approved,3p21.31,U73166,,Long independently transcribed non-coding RNAs,,ENSG00000230454,
HGNC:58272,LINC03144,long independently transcribed non-coding RNA 3144,non-coding RNA,"RNA, long non-coding",Approved,11q12.2,AP002754.2,,Long independently transcribed non-coding RNAs,,ENSG00000255947,
HGNC:56020,LINC03145,long independently transcribed non-coding RNA 3145,non-coding RNA,"RNA, long non-coding",Approved,16q12.1,CRART16,,Long independently transcribed non-coding RNAs,,ENSG00000259821,
HGNC:58312,LINC03146,long independently transcribed non-coding RNA 3146,non-coding RNA,"RNA, long non-coding",Approved,17q11.1,,,Long independently transcribed non-coding RNAs,124903957.0,ENSG00000266313,
HGNC:1279,LINC03147,long independently transcribed non-coding RNA 3147,non-coding RNA,"RNA, long non-coding",Approved,21q21.1,,C21orf39|NCRNA00157|CHODL-AS1,Long independently transcribed non-coding RNAs,54075.0,ENSG00000231755,NR_024354
HGNC:58365,LINC03148,long independently transcribed non-coding RNA 3148,non-coding RNA,"RNA, long non-coding",Approved,8q24.13,,,Long independently transcribed non-coding RNAs,,ENSG00000253227,
HGNC:58369,LINC03149,long independently transcribed non-coding RNA 3149,non-coding RNA,"RNA, long non-coding",Approved,17q25.3,AC145207.5,,Long independently transcribed non-coding RNAs,,ENSG00000263731,
HGNC:58374,LINC03150,long independently transcribed non-coding RNA 3150,non-coding RNA,"RNA, long non-coding",Approved,1p21.1,,,Long independently transcribed non-coding RNAs,,ENSG00000233359,
HGNC:58391,LINC03151,long independently transcribed non-coding RNA 3151,non-coding RNA,"RNA, long non-coding",Approved,17p11.2,,,Long independently transcribed non-coding RNAs,,ENSG00000228157,
HGNC:58412,LINC03152,long independently transcribed non-coding RNA 3152,non-coding RNA,"RNA, long non-coding",Approved,5q12.1,,,Long independently transcribed non-coding RNAs,101928651.0,ENSG00000248529,NR_109910
HGNC:58484,LINC03153,long independently transcribed non-coding RNA 3153,non-coding RNA,"RNA, long non-coding",Approved,1p36.23,,,Long independently transcribed non-coding RNAs,112268261.0,ENSG00000310107,
HGNC:58485,LINC03154,long independently transcribed non-coding RNA 3154,non-coding RNA,"RNA, long non-coding",Approved,1p36.23,,,Long independently transcribed non-coding RNAs,124903835.0,ENSG00000301006,NR_201318
HGNC:58489,LINC03155,long independently transcribed non-coding RNA 3155,non-coding RNA,"RNA, long non-coding",Approved,9q13,,,Long independently transcribed non-coding RNAs,107987068.0,ENSG00000309110,
HGNC:49838,LINC03156,long independently transcribed non-coding RNA 3156,non-coding RNA,"RNA, long non-coding",Approved,2p25.2,,MIR7515HG,Long independently transcribed non-coding RNAs,102800314.0,ENSG00000236172,NR_110497
HGNC:58697,LINC03157,long independently transcribed non-coding RNA 3157,non-coding RNA,"RNA, long non-coding",Approved,13q22.3,lncRNA-ACOD1,,Long independently transcribed non-coding RNAs,105370268.0,ENSG00000284809,
HGNC:58698,LINC03158,long independently transcribed non-coding RNA 3158,non-coding RNA,"RNA, long non-coding",Approved,7q21.3,,,Long independently transcribed non-coding RNAs,105375416.0,ENSG00000305877,
HGNC:58713,LINC03159,long independently transcribed non-coding RNA 3159,non-coding RNA,"RNA, long non-coding",Approved,4p16.3,,,Long independently transcribed non-coding RNAs,102723763.0,ENSG00000303384,
HGNC:58770,LINC03160,long independently transcribed non-coding RNA 3160,non-coding RNA,"RNA, long non-coding",Approved,3q21.2,lncRNA-6195,,Long independently transcribed non-coding RNAs,,ENSG00000304728,
HGNC:58772,LINC03161,long independently transcribed non-coding RNA 3161,non-coding RNA,"RNA, long non-coding",Approved,17q25.3,AC021683.2,,Long independently transcribed non-coding RNAs,100507351.0,ENSG00000267506,NR_040050
HGNC:58849,LINC03162,long independently transcribed non-coding RNA 3162,non-coding RNA,"RNA, long non-coding",Approved,16q24.3,CTD-2555A7.2,,Long independently transcribed non-coding RNAs,,ENSG00000256982,
HGNC:27927,LINC03163,long independently transcribed non-coding RNA 3163,non-coding RNA,"RNA, long non-coding",Approved,20p12.2,,,Long independently transcribed non-coding RNAs,339593.0,ENSG00000230990,NR_038972
HGNC:58927,LINC03164,long independently transcribed non-coding RNA 3164,non-coding RNA,"RNA, long non-coding",Approved,1p36.22,uc.9,,Long independently transcribed non-coding RNAs,,ENSG00000308013,
HGNC:58928,LINC03165,long independently transcribed non-coding RNA 3165,non-coding RNA,"RNA, long non-coding",Approved,1p34.3,uc.16,,Long independently transcribed non-coding RNAs,105378654.0,ENSG00000286552,
HGNC:58929,LINC03166,long independently transcribed non-coding RNA 3166,non-coding RNA,"RNA, long non-coding",Approved,1p34.3,uc.17,,Long independently transcribed non-coding RNAs,,ENSG00000301495,
HGNC:58930,LINC03167,long independently transcribed non-coding RNA 3167,non-coding RNA,"RNA, long non-coding",Approved,1p34.3,uc.17,,Long independently transcribed non-coding RNAs,105378657.0,ENSG00000301425,
HGNC:58932,LINC03168,long independently transcribed non-coding RNA 3168,non-coding RNA,"RNA, long non-coding",Approved,1p22.3,uc.30,,Long independently transcribed non-coding RNAs,,ENSG00000306560,
HGNC:58933,LINC03169,long independently transcribed non-coding RNA 3169,non-coding RNA,"RNA, long non-coding",Approved,1q23.3,uc.38,,Long independently transcribed non-coding RNAs,,ENSG00000307220,
HGNC:58934,LINC03170,long independently transcribed non-coding RNA 3170,non-coding RNA,"RNA, long non-coding",Approved,2p25.1,uc.47,,Long independently transcribed non-coding RNAs,,ENSG00000230515,
HGNC:58935,LINC03171,long independently transcribed non-coding RNA 3171,non-coding RNA,"RNA, long non-coding",Approved,2p16.1,uc.51,,Long independently transcribed non-coding RNAs,,ENSG00000285755,
HGNC:58936,LINC03172,long independently transcribed non-coding RNA 3172,non-coding RNA,"RNA, long non-coding",Approved,2p16.1,uc.57|uc.56|uc.55,,Long independently transcribed non-coding RNAs,105374754.0,ENSG00000233891,
HGNC:58937,LINC03173,long independently transcribed non-coding RNA 3173,non-coding RNA,"RNA, long non-coding",Approved,2p16.1,uc.58,,Long independently transcribed non-coding RNAs,,ENSG00000285611,
HGNC:58938,LINC03174,long independently transcribed non-coding RNA 3174,non-coding RNA,"RNA, long non-coding",Approved,2q22.3,uc.81,,Long independently transcribed non-coding RNAs,105373667.0,ENSG00000295757,
HGNC:58939,LINC03175,long independently transcribed non-coding RNA 3175,non-coding RNA,"RNA, long non-coding",Approved,2q24.1,uc.82,,Long independently transcribed non-coding RNAs,105373703.0,ENSG00000304068,
HGNC:58940,LINC03176,long independently transcribed non-coding RNA 3176,non-coding RNA,"RNA, long non-coding",Approved,2q24.1,uc.86,,Long independently transcribed non-coding RNAs,124907897.0,ENSG00000287048,
HGNC:58941,LINC03177,long independently transcribed non-coding RNA 3177,non-coding RNA,"RNA, long non-coding",Approved,2q24.1,uc.87,,Long independently transcribed non-coding RNAs,105373709.0,ENSG00000286530,
HGNC:58942,LINC03178,long independently transcribed non-coding RNA 3178,non-coding RNA,"RNA, long non-coding",Approved,2q24.3,uc.94|uc.93,,Long independently transcribed non-coding RNAs,,ENSG00000237844,
HGNC:58944,LINC03179,long independently transcribed non-coding RNA 3179,non-coding RNA,"RNA, long non-coding",Approved,3p24.3,uc.115,,Long independently transcribed non-coding RNAs,107986066.0,ENSG00000300901,
HGNC:58945,LINC03180,long independently transcribed non-coding RNA 3180,non-coding RNA,"RNA, long non-coding",Approved,3p24.3,uc.115,,Long independently transcribed non-coding RNAs,105376981.0,ENSG00000300934,
HGNC:58946,LINC03181,long independently transcribed non-coding RNA 3181,non-coding RNA,"RNA, long non-coding",Approved,3q22.3,uc.124,,Long independently transcribed non-coding RNAs,,ENSG00000295924,
HGNC:58947,LINC03182,long independently transcribed non-coding RNA 3182,non-coding RNA,"RNA, long non-coding",Approved,3q24,uc.128|uc.127,,Long independently transcribed non-coding RNAs,,ENSG00000243620,
HGNC:58948,LINC03183,long independently transcribed non-coding RNA 3183,non-coding RNA,"RNA, long non-coding",Approved,3q25.32,uc.130,,Long independently transcribed non-coding RNAs,,ENSG00000242536,
HGNC:58949,LINC03184,long independently transcribed non-coding RNA 3184,non-coding RNA,"RNA, long non-coding",Approved,3q26.33,uc.137,,Long independently transcribed non-coding RNAs,101928882.0,ENSG00000285336,NR_109986
HGNC:58950,LINC03185,long independently transcribed non-coding RNA 3185,non-coding RNA,"RNA, long non-coding",Approved,4q25,uc.146,,Long independently transcribed non-coding RNAs,,ENSG00000309167,
HGNC:58952,LINC03187,long independently transcribed non-coding RNA 3187,non-coding RNA,"RNA, long non-coding",Approved,7p21.1,uc.205,,Long independently transcribed non-coding RNAs,,ENSG00000300678,
HGNC:58953,LINC03188,long independently transcribed non-coding RNA 3188,non-coding RNA,"RNA, long non-coding",Approved,7p15.3,uc.206,,Long independently transcribed non-coding RNAs,,ENSG00000285592,
HGNC:58955,LINC03189,long independently transcribed non-coding RNA 3189,non-coding RNA,"RNA, long non-coding",Approved,7q31.2,uc.230,,Long independently transcribed non-coding RNAs,100506489.0,ENSG00000240973,NR_187628
HGNC:58956,LINC03190,long independently transcribed non-coding RNA 3190,non-coding RNA,"RNA, long non-coding",Approved,9p23,uc.250,,Long independently transcribed non-coding RNAs,101929507.0,ENSG00000289185,
HGNC:58957,LINC03191,long independently transcribed non-coding RNA 3191,non-coding RNA,"RNA, long non-coding",Approved,10q24.32,uc.303,,Long independently transcribed non-coding RNAs,105378453.0,ENSG00000289441,NR_201550
HGNC:58961,LINC03193,long independently transcribed non-coding RNA 3193,non-coding RNA,"RNA, long non-coding",Approved,5q11.1,uc.152,,Long independently transcribed non-coding RNAs,,ENSG00000304338,
HGNC:58962,LINC03194,long independently transcribed non-coding RNA 3194,non-coding RNA,"RNA, long non-coding",Approved,5q14.1,uc.162,,Long independently transcribed non-coding RNAs,,ENSG00000301794,
HGNC:58963,LINC03195,long independently transcribed non-coding RNA 3195,non-coding RNA,"RNA, long non-coding",Approved,5q14.1,uc.162,,Long independently transcribed non-coding RNAs,124901018.0,ENSG00000287938,
HGNC:58965,LINC03196,long independently transcribed non-coding RNA 3196,non-coding RNA,"RNA, long non-coding",Approved,11p15.2,uc.321,,Long independently transcribed non-coding RNAs,105376568.0,ENSG00000254789,
HGNC:58966,LINC03197,long independently transcribed non-coding RNA 3197,non-coding RNA,"RNA, long non-coding",Approved,12q13.13,uc.340,,Long independently transcribed non-coding RNAs,,ENSG00000305918,
HGNC:58969,LINC03198,long independently transcribed non-coding RNA 3198,non-coding RNA,"RNA, long non-coding",Approved,13q32.1,uc.355,,Long independently transcribed non-coding RNAs,,ENSG00000287635,
HGNC:58970,LINC03199,long independently transcribed non-coding RNA 3199,non-coding RNA,"RNA, long non-coding",Approved,14q12,uc.362,,Long independently transcribed non-coding RNAs,102724934.0,ENSG00000257522,
HGNC:58971,LINC03200,long independently transcribed non-coding RNA 3200,non-coding RNA,"RNA, long non-coding",Approved,14q12,uc.363,,Long independently transcribed non-coding RNAs,,ENSG00000258107,
HGNC:58972,LINC03201,long independently transcribed non-coding RNA 3201,non-coding RNA,"RNA, long non-coding",Approved,14q32.2,uc.381,,Long independently transcribed non-coding RNAs,,ENSG00000310069,
HGNC:58973,LINC03202,long independently transcribed non-coding RNA 3202,non-coding RNA,"RNA, long non-coding",Approved,15q14,uc.383,,Long independently transcribed non-coding RNAs,,ENSG00000296959,
HGNC:58974,LINC03203,long independently transcribed non-coding RNA 3203,non-coding RNA,"RNA, long non-coding",Approved,15q23,uc.392,,Long independently transcribed non-coding RNAs,,ENSG00000304638,
HGNC:58977,LINC03204,long independently transcribed non-coding RNA 3204,non-coding RNA,"RNA, long non-coding",Approved,18q12.2,uc.431,,Long independently transcribed non-coding RNAs,,ENSG00000285940,
HGNC:58978,LINC03205,long independently transcribed non-coding RNA 3205,non-coding RNA,"RNA, long non-coding",Approved,18q12.2,uc.432,,Long independently transcribed non-coding RNAs,,ENSG00000286716,
HGNC:58979,LINC03206,long independently transcribed non-coding RNA 3206,non-coding RNA,"RNA, long non-coding",Approved,18q12.2,uc.433,,Long independently transcribed non-coding RNAs,105372074.0,ENSG00000305237,
HGNC:58981,LINC03207,long independently transcribed non-coding RNA 3207,non-coding RNA,"RNA, long non-coding",Approved,Xp21.3,uc.470,,Long independently transcribed non-coding RNAs,,ENSG00000294456,
HGNC:58983,LINC03208,long independently transcribed non-coding RNA 3208,non-coding RNA,"RNA, long non-coding",Approved,12p12.3,,,Long independently transcribed non-coding RNAs,102724227.0,ENSG00000309085,
HGNC:59050,LINC03209,long independently transcribed non-coding RNA 3209,non-coding RNA,"RNA, long non-coding",Approved,7p12.3,,,Long independently transcribed non-coding RNAs,102723446.0,ENSG00000237471,NR_187744
HGNC:59051,LINC03210,long independently transcribed non-coding RNA 3210,non-coding RNA,"RNA, long non-coding",Approved,7p12.3,,,Long independently transcribed non-coding RNAs,105375266.0,ENSG00000230680,NR_187896
HGNC:59052,LINC03211,long independently transcribed non-coding RNA 3211,non-coding RNA,"RNA, long non-coding",Approved,7p12.3,,,Long independently transcribed non-coding RNAs,124901628.0,ENSG00000286315,
HGNC:59053,LINC03212,long independently transcribed non-coding RNA 3212,non-coding RNA,"RNA, long non-coding",Approved,7p12.3,,,Long independently transcribed non-coding RNAs,105375272.0,ENSG00000228173,
HGNC:59054,LINC03213,long independently transcribed non-coding RNA 3213,non-coding RNA,"RNA, long non-coding",Approved,7p12.2,,,Long independently transcribed non-coding RNAs,124901804.0,ENSG00000286995,
HGNC:59055,LINC03214,long independently transcribed non-coding RNA 3214,non-coding RNA,"RNA, long non-coding",Approved,3p12.1,,,Long independently transcribed non-coding RNAs,105377188.0,ENSG00000287158,
HGNC:59078,LINC03215,long independently transcribed non-coding RNA 3215,non-coding RNA,"RNA, long non-coding",Approved,4p15.31,,,Long independently transcribed non-coding RNAs,105374510.0,ENSG00000286046,
HGNC:59079,LINC03216,long independently transcribed non-coding RNA 3216,non-coding RNA,"RNA, long non-coding",Approved,4p15.31,,,Long independently transcribed non-coding RNAs,105374511.0,ENSG00000248515,NR_188379
HGNC:59080,LINC03217,long independently transcribed non-coding RNA 3217,non-coding RNA,"RNA, long non-coding",Approved,9p11.2,,,Long independently transcribed non-coding RNAs,107986993.0,ENSG00000276266,
HGNC:39763,LINC03218,long independently transcribed non-coding RNA 3218,non-coding RNA,"RNA, long non-coding",Approved,6p21.32,XXbac-BPG254F23.7,,Long independently transcribed non-coding RNAs,102725019.0,ENSG00000232080,NR_190902
HGNC:59162,LINC03219,long independently transcribed non-coding RNA 3219,non-coding RNA,"RNA, long non-coding",Approved,6p21.32,,,Long independently transcribed non-coding RNAs,100294145.0,ENSG00000289047,NR_037177
HGNC:59163,LINC03220,long independently transcribed non-coding RNA 3220,non-coding RNA,"RNA, long non-coding",Approved,6p21.32,,,Long independently transcribed non-coding RNAs,105375021.0,ENSG00000301948,NR_190905
HGNC:59164,LINC03221,long independently transcribed non-coding RNA 3221,non-coding RNA,"RNA, long non-coding",Approved,6p22.1,,,Long independently transcribed non-coding RNAs,105375010.0,ENSG00000290870,
HGNC:59165,LINC03222,long independently transcribed non-coding RNA 3222,non-coding RNA,"RNA, long non-coding",Approved,6p22.1,,,Long independently transcribed non-coding RNAs,105375012.0,ENSG00000288805,
HGNC:59166,LINC03223,long independently transcribed non-coding RNA 3223,non-coding RNA,"RNA, long non-coding",Approved,6p21.32,,,Long independently transcribed non-coding RNAs,105375022.0,ENSG00000272217,NR_187834
HGNC:59167,LINC03224,long independently transcribed non-coding RNA 3224,non-coding RNA,"RNA, long non-coding",Approved,5q35.3,,,Long independently transcribed non-coding RNAs,105377753.0,ENSG00000249186,NR_188272
HGNC:59168,LINC03225,long independently transcribed non-coding RNA 3225,non-coding RNA,"RNA, long non-coding",Approved,5q35.3,,,Long independently transcribed non-coding RNAs,124901146.0,ENSG00000309157,
HGNC:59178,LINC03226,long independently transcribed non-coding RNA 3226,non-coding RNA,"RNA, long non-coding",Approved,1q21.1,,,Long independently transcribed non-coding RNAs,101927333.0,ENSG00000296108,
HGNC:27583,LINC03227,long independently transcribed non-coding RNA 3227,non-coding RNA,"RNA, long non-coding",Approved,17p11.2,,,Long independently transcribed non-coding RNAs,284191.0,ENSG00000230709,NR_148948
HGNC:59193,LINC03228,long independently transcribed non-coding RNA 3228,non-coding RNA,"RNA, long non-coding",Approved,Xq13.1,,,Long independently transcribed non-coding RNAs,100132741.0,ENSG00000298409,NR_034004
